Cell Size,K-Points Mesh,Number of CPUs,Number of Nodes,SCF Time
222,111,128,1,7.43
222,111,16,1,19.692
222,111,32,1,13.368
222,111,4,1,49.621
222,111,64,1,9.065
222,111,8,1,29.481
222,111,1,1,188.484
